LP,KRS,NIP,Name,Voivodeship,County,Municipality,City
5667,0000307781,6482672295,"FUNDACJA ""ANDRZEJ"" NA RZECZ PARAFII ŚW. ANDRZEJA W ZABRZU",ŚLĄSKIE,M. ZABRZE,M. ZABRZE,ZABRZE
5668,0000307811,8133551424,"STOWARZYSZENIE PROMOCJI I ROZWOJU WSI WOLA RAFAŁOWSKA ""NASZA WOLA""",PODKARPACKIE,RZESZOWSKI,CHMIELNIK,WOLA RAFAŁOWSKA
5669,0000307848,7251978586,"ŁÓDZKIE STOWARZYSZENIE POMOCY DZIECIOM ""SKRAWEK NIEBA""",ŁÓDZKIE,M. ŁÓDŹ,M. ŁÓDŹ,ŁÓDŹ
5670,0000307870,5922002487,POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W SKARSZEWACH,POMORSKIE,STAROGARDZKI,SKARSZEWY,SKARSZEWY
5671,0000308004,8982140651,SALEZJAŃSKI WOLONTARIAT MISYJNY-MŁODZI ŚWIATU ODDZIAŁ WE WROCŁAWIU,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW,WROCŁAW
5672,0000308081,6452469129,"REGIONALNE OGNISKO HISTORYCZNE ""ROH""",ŚLĄSKIE,TARNOGÓRSKI,KRUPSKI MŁYN,KRUPSKI MŁYN
5673,0000308084,9512258924,"STOWARZYSZENIE INICJATYW SPOŁECZNYCH ""ODPOWIEDZIALNI""",MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
5674,0000308316,7671656524,"FUNDACJA ""ZŁOTOWIANKA""",WIELKOPOLSKIE,ZŁOTOWSKI,ZŁOTÓW,ZŁOTÓW
5675,0000308330,2530281841,"STOWARZYSZENIE ""CARPE-DIEM"" DOM OPIEKI TERAPEUTYCZNEJ W ŻABINIE DLA OSÓB NIEPEŁNOSPRAWNYCH",ZACHODNIOPOMORSKIE,DRAWSKI,WIERZCHOWO,ŻABIN
5676,0000308353,7891718977,"STOWARZYSZENIE NA RZECZ DZIECI I MŁODZIEŻY NIEPEŁNOSPRAWNEJ ""RAZEM""",WIELKOPOLSKIE,WRZESIŃSKI,WRZEŚNIA,WRZEŚNIA
5677,0000308397,4660381312,UNIWERSYTET TRZECIEGO WIEKU W LIPNIE,KUJAWSKO-POMORSKIE,LIPNOWSKI,LIPNO,LIPNO
5678,0000308399,9211985463,STOWARZYSZENIE  NA RZECZ ROZWOJU GMINY KRYNICE,LUBELSKIE,TOMASZOWSKI,KRYNICE,KRYNICE
5679,0000308456,9462557670,STOWARZYSZENIE SYNERGIA,LUBELSKIE,LUBLIN,LUBLIN,LUBLIN
5680,0000308484,5632346764,"""FUNDACJA MŁODE TALENTY""",LUBELSKIE,CHEŁMSKI,CHEŁM,CHEŁM
5681,0000308770,9462562607,"STOWARZYSZENIE ""JESTEŚMY WŚRÓD WAS""",LUBELSKIE,M. LUBLIN,M. LUBLIN,LUBLIN
5682,0000308821,8862900243,"FUNDACJA ""KATOLICKA INICJATYWA BERIT""",DOLNOŚLĄSKIE,WAŁBRZYSKI,GŁUSZYCA,GŁUSZYCA
5683,0000308935,5732749332,"FUNDACJA AKADEMICKA ""NA PROGU""",ŚLĄSKIE,M. CZĘSTOCHOWA,M. CZĘSTOCHOWA,CZĘSTOCHOWA
5684,0000309031,9231664963,"STOWARZYSZENIE ""PRZYJACIEL PIĄTKI""",WIELKOPOLSKIE,WOLSZTYŃSKI,WOLSZTYN,WOLSZTYN
5685,0000309119,9910429874,STOWARZYSZENIE PRZYJACIÓŁ NAKŁA,OPOLSKIE,OPOLSKI,TARNÓW OPOLSKI,NAKŁO
5686,0000309225,6182086268,"KLUB PIŁKI RĘCZNEJ ""SZCZYPIORNO - KALISZ""",WIELKOPOLSKIE,KALISZ,KALISZ,KALISZ
5687,0000309247,1990075574,STOWARZYSZENIE ROZWOJU WSI GÓRAŻDŻE,OPOLSKIE,KRAPKOWICKI,GOGOLIN,GÓRAŻDŻE
5688,0000309320,6971078002,POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W LESZNIE,WIELKOPOLSKIE,M. LESZNO,M. LESZNO,LESZNO
5689,0000309413,9661972443,TOWARZYSTWO WSPIERANIA INICJATYW SPOŁECZNYCH ALPI,PODLASKIE,M. BIAŁYSTOK,M. BIAŁYSTOK,BIAŁYSTOK
5690,0000309496,8762403284,"STOWARZYSZENIE ""PRO CHORO""",KUJAWSKO-POMORSKIE,M. GRUDZIĄDZ,M. GRUDZIĄDZ,GRUDZIĄDZ
5691,0000309499,1251501220,"""PALLOTYŃSKA FUNDACJA MISYJNA SALVATTI.PL""",MAZOWIECKIE,WOŁOMIŃSKI,ZĄBKI,ZĄBKI
5692,0000309543,5170262374,STOWARZYSZENIE ROZWOJU OŚWIATY GMINY BOGUCHWAŁA,PODKARPACKIE,RZESZOWSKI,BOGUCHWAŁA,BOGUCHWAŁA
5693,0000309548,7842435742,"WIELKOPOLSKIE TOWARZYSTWO GENEALOGICZNE ""GNIAZDO""",WIELKOPOLSKIE,GNIEŹNIEŃSKI,GNIEZNO,MNICHOWO
5694,0000309560,5562665167,FUNDACJA FENIKS ANNY CHODOROWSKIEJ,WIELKOPOLSKIE,POZNAŃ,POZNAŃ,POZNAŃ
5695,0000309642,6762144781,STOWARZYSZENIE RODZICÓW I PRZYJACIÓŁ DZIECI NIEWIDOMYCH I SŁABOWIDZĄCYCH NADZIEJA,MAŁOPOLSKIE,M. KRAKÓW,M. KRAKÓW,KRAKÓW
5696,0000309669,8942951248,"""TRANS-FUZJA, FUNDACJA NA RZECZ OSÓB TRANSPŁCIOWYCH""",MAZOWIECKIE,M.ST. WARSZAWA,M.ST. WARSZAWA,WARSZAWA
5697,0000309887,8711739560,"STOWARZYSZENIE POMOCY DZIECKU I RODZINIE ""PRZYJAZNY ŚWIAT""",MAŁOPOLSKIE,DĄBROWSKI,MĘDRZECHÓW,MĘDRZECHÓW
5698,0000309958,8722334944,STOWARZYSZENIE NOWY DOM,PODKARPACKIE,DĘBICKI,ŻYRAKÓW,ZAWIERZBIE
5699,0000309966,6612322318,"STOWARZYSZENIE NA RZECZ WYCHOWANKÓW ZESPOŁU SZKÓŁ SPECJALNYCH W OSTROWCU ŚWIĘTOKRZYSKIM ""ŹRÓDŁO""",ŚWIĘTOKRZYSKIE,OSTROWIECKI,OSTROWIEC ŚWIĘTOKRZYSKI,OSTROWIEC ŚWIĘTOKRZYSKI
5700,0000309976,7382085713,"STOWARZYSZENIE NA RZECZ DZIECI I MŁODZIEŻY NIEPEŁNOSPRAWNEJ ""PO TO JESTEŚMY""",MAŁOPOLSKIE,GORLICKI,GORLICE,SZYMBARK
5701,0000310036,7991177676,"GMINNY KLUB SPORTOWY ""ORZEŁ"" WIERZBICA",MAZOWIECKIE,RADOMSKI,WIERZBICA,WIERZBICA
5702,0000310104,5882286891,"STOWARZYSZENIE RODZICIELSTWA ZASTĘPCZEGO ""NASZE GNIAZDO""",POMORSKIE,WEJHEROWSKI,WEJHEROWO,WEJHEROWO
5703,0000310125,9542653097,"FUNDACJA DR LEONARDA WOŹNICA - INSTYTUT PRZEDSIĘBIORCZOŚCI, INNOWACJI I KOMUNIKACJI SPOŁECZNEJ",ŚLĄSKIE,KATOWICE,KATOWICE,KATOWICE
5704,0000310198,5882288619,"STOWARZYSZENIE ROZWOJU WSI KĄPINO ""ECO-KĄPINO""",POMORSKIE,WEJHEROWSKI,WEJHEROWO,KĄPINO
5705,0000310226,6832028124,"STOWARZYSZENIE ""KLUB POLSKIEGO TRAKERA""",MAŁOPOLSKIE,KRAKÓW,KRAKÓW,KRAKÓW
5706,0000310500,5851445041,SOPOCKI KLUB HOKEJOWY,POMORSKIE,M. SOPOT,M. SOPOT,SOPOT
5707,0000310631,6372129118,OLKUSKIE STOWARZYSZENIE PRZYJACIÓŁ ZWIERZĄT,MAŁOPOLSKIE,OLKUSKI,OLKUSZ,OLKUSZ
5708,0000310716,8741730813,"STOWARZYSZENIE NA RZECZ ROZWOJU WSI GOŁKOWO, SZCZUTOWO, GOŁKÓWKO ORAZ OKOLIC ""KUŹNIA""",KUJAWSKO-POMORSKIE,BRODNICKI,GÓRZNO,GOŁKOWO
5709,0000310766,9512128771,"INTEGRACYJNY KLUB SPORTOWY ""MEDIA CURLING CLUB""",MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
5710,0000310793,6172170027,STOWARZYSZENIE EDUKACYJNE W ŁUSZCZANOWIE,WIELKOPOLSKIE,JAROCIŃSKI,JAROCIN,ŁUSZCZANÓW
5711,0000311037,8951930725,"""FUNDACJA KOCIE ŻYCIE""",DOLNOŚLĄSKIE,M. WROCŁAW,M. WROCŁAW,WROCŁAW
5712,0000311090,9161370379,"""NASZE DZIECI""",DOLNOŚLĄSKIE,MILICKI,KROŚNICE,KROŚNICE
5713,0000311220,5833037395,STOWARZYSZENIE NOWY PORT SZTUKI,POMORSKIE,M. GDAŃSK,M. GDAŃSK,GDAŃSK
5714,0000311221,6652880131,"FUNDACJA ""WIOSNA W SERCU""",WIELKOPOLSKIE,M. KONIN,M. KONIN,KONIN
5715,0000311305,7361673994,STOWARZYSZENIE IM. MIECZYSŁAWA KARŁOWICZA W ZAKOPANEM,MAŁOPOLSKIE,TATRZAŃSKI,ZAKOPANE,ZAKOPANE
5716,0000311370,7471514713,KOŁO BRZESKIE TOWARZYSTWA POMOCY IM. ŚW. BRATA ALBERTA,OPOLSKIE,BRZESKI,SKARBIMIERZ,PĘPICE
5717,0000311385,9730859886,"KLUB SPORTOWY ""AKADEMIA SPORTÓW WALKI KNOCKOUT""",LUBUSKIE,M. ZIELONA GÓRA,M. ZIELONA GÓRA,ZIELONA GÓRA
5718,0000311436,8822064013,"FUNDACJA ""SALUS PRO FAMILIA""",DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,DZIERŻONIÓW
5719,0000311454,6631830406,"STOWARZYSZENIE NA RZECZ SPECJALNEGO OŚRODKA SZKOLNO-WYCHOWAWCZEGO NR 1 ""JESTEŚMY""",ŚWIĘTOKRZYSKIE,SKARŻYSKI,SKARŻYSKO-KAMIENNA,SKARŻYSKO-KAMIENNA
5720,0000311609,5291739757,STOWARZYSZENIE RODZIN I PRZYJACIÓŁ OSÓB NIEPEŁNOSPRAWNYCH,MAZOWIECKIE,GRODZISKI,GRODZISK MAZOWIECKI,GRODZISK MAZOWIECKI
5721,0000311656,9820355770,"FUNDACJA ""POMAGAJMY RAZEM - ZWIERZĘTA W POTRZEBIE""",ŁÓDZKIE,ŁÓDŹ,ŁÓDŹ,ŁÓDŹ
5722,0000311677,9471957937,AMBER FUNDACJA POMOCY OFIAROM WYPADKÓW DROGOWYCH,ŁÓDZKIE,ŁÓDŹ,ŁÓDŹ,ŁÓDŹ
5723,0000311733,6423064542,"STOWARZYSZENIE NA RZECZ WSPOMAGANIA OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ I ICH OTOCZENIA ""RAZEM""",ŚLĄSKIE,M. RYBNIK,M. RYBNIK,RYBNIK
5724,0000311760,9910430191,"STOWARZYSZENIE LOKALNA GRUPA DZIAŁANIA ""KRAINA DINOZAURÓW""",OPOLSKIE,OPOLSKI,OZIMEK,OZIMEK
5725,0000311771,5811919780,KWIDZYŃSKIE STOWARZYSZENIE OŚWIATOWE,POMORSKIE,KWIDZYŃSKI,KWIDZYN,KWIDZYN
5726,0000311804,8151758271,STOWARZYSZENIE ŁAŃCUCKI UNIWERSYTET TRZECIEGO WIEKU,PODKARPACKIE,ŁAŃCUCKI,ŁAŃCUT,ŁAŃCUT
5727,0000311823,7123133179,FUNDACJA ROZWOJU OŚWIATY LUBELSKIEJ,LUBELSKIE,M. LUBLIN,M. LUBLIN,LUBLIN
5728,0000311828,7542948302,FUNDACJA SYNERGIA,OPOLSKIE,M. OPOLE,M. OPOLE,OPOLE
5729,0000311876,7792343014,WIELKOPOLSKA FUNDACJA ROZWOJU PRZEDSIĘBIORCZOŚCI,WIELKOPOLSKIE,M. POZNAŃ,M. POZNAŃ,POZNAŃ
5730,0000311988,5991113787,POLSKIE TOWARZYSTWO WALKI Z KALECTWEM ODDZIAŁ W GORZOWIE WIELKOPOLSKIM,LUBUSKIE,M. GORZÓW WIELKOPOLSKI,M. GORZÓW WIELKOPOLSKI,GORZÓW WIELKOPOLSKI
5731,0000312036,6572800851,STOWARZYSZENIE ROZWOJU WSI ŚWIĘTOKRZYSKIEJ,ŚWIĘTOKRZYSKIE,KIELECKI,ŁAGÓW,ŁAGÓW
5732,0000312074,,STOWARZYSZENIE NA RZECZ DOMU POMOCY SPOŁECZNEJ W CISEWIU,POMORSKIE,KOŚCIERSKI,KARSIN,CISEWIE 35
5733,0000312130,7123136485,"STOWARZYSZENIE PRZYJACIÓŁ PARAFII ""POCZEKAJKA""",LUBELSKIE,M. LUBLIN,M. LUBLIN,LUBLIN
5734,0000312148,6511686786,POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W ŻORACH,ŚLĄSKIE,ŻORY,ŻORY,ŻORY
5735,0000312232,7621960852,"""USŁYSZ MARZENIA""",MAZOWIECKIE,WYSZKOWSKI,WYSZKÓW,WYSZKÓW
5736,0000312236,9581599580,FUNDACJA SZKWAŁ - MORZE DLA MŁODZIEŻY,POMORSKIE,GDAŃSK,GDAŃSK,GDAŃSK
5737,0000312250,6312595437,PRZEMYSŁ METALI NIEŻELAZNYCH PRZYJAZNY SWOIM SENIOROM,ŚLĄSKIE,M. GLIWICE,M. GLIWICE,GLIWICE
5738,0000312268,8262125830,"STOWARZYSZENIE SPOŁECZNO-KULTURALNE ""RAZEM DLA GMINY WILGA""",MAZOWIECKIE,GARWOLIŃSKI,WILGA,WILGA
5739,0000312325,6262928634,"""FUNDACJA POMOCY ZWIERZĘTOM CHATUL""",ŚLĄSKIE,M. BYTOM,M. BYTOM,BYTOM
5740,0000312336,6762478507,TOWARZYSTWO POMOCY DZIECIOM IM. MARII KONOPNICKIEJ,MAŁOPOLSKIE,M. KRAKÓW,M. KRAKÓW,KRAKÓW
5741,0000312378,8792574151,"""EDUKACYJNA SZANSA DLA WSZYSTKICH""",KUJAWSKO-POMORSKIE,M. TORUŃ,M. TORUŃ,TORUŃ
5742,0000312389,7010150236,FUNDACJA LEGII,MAZOWIECKIE,M.ST. WARSZAWA,M.ST. WARSZAWA,WARSZAWA
5743,0000312439,5783023912,"STOWARZYSZENIE PRZYJACIÓŁ ZIEMI TOLKMICKIEJ ""LANZANIA""",WARMIŃSKO-MAZURSKIE,ELBLĄSKI,TOLKMICKO,TOLKMICKO
5744,0000312441,8822069861,"""STOWARZYSZENIE DOBROCIN WIEŚ XXI WIEKU""",DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,DOBROCIN
5745,0000312459,8792579295,"TORUŃSKIE STOWARZYSZENIE ""AMAZONKI""",KUJAWSKO-POMORSKIE,M. TORUŃ,M. TORUŃ,TORUŃ
5746,0000312532,5911550452,OCHOTNICZA STRAŻ POŻARNA W STARYCH POLASZKACH,POMORSKIE,KOŚCIERSKI,STARA KISZEWA,STARE POLASZKI
5747,0000312625,8491560378,"LOKALNA GRUPA DZIAŁANIA ""MAZURSKIE MORZE""",WARMIŃSKO-MAZURSKIE,PISKI,ORZYSZ,ORZYSZ
5748,0000312714,5050085337,LUBELSKIE STOWARZYSZENIE SAMOPOMOCY,LUBELSKIE,LUBLIN,LUBLIN,LUBLIN
5749,0000312796,9492098244,"STOWARZYSZENIE WSPIERANIA OSÓB NIEPEŁNOSPRAWNYCH ""POMOCNA DŁOŃ""",ŚLĄSKIE,CZĘSTOCHOWA,CZĘSTOCHOWA,CZĘSTOCHOWA
5750,0000312817,6412250123,"UCZNIOWSKI KLUB SPORTOWY ""FLORET-RUDA ŚLĄSKA""",ŚLĄSKIE,M. RUDA ŚLĄSKA,M. RUDA ŚLĄSKA,RUDA ŚLĄSKA
5751,0000312865,,STOWARZYSZENIE BORRELIA,ŚLĄSKIE,TARNOGÓRSKI,ŚWIERKLANIEC,ŚWIARKLANIEC
5752,0000312965,7842422248,STOWARZYSZENIE MAKI,WIELKOPOLSKIE,GNIEŹNIEŃSKI,GNIEZNO,GNIEZNO
5753,0000313158,7343343720,"STOWARZYSZENIE NA RZECZ OSÓB NIEPEŁNOSPRAWNYCH I ICH OPIEKUNÓW ""SPOSÓB NA ŻYCIE"" W MUSZYNIE",MAŁOPOLSKIE,NOWOSĄDECKI,MUSZYNA,MUSZYNA
5754,0000313177,7010144922,"FUNDACJA ""WARBUD - WARTO POMAGAĆ""",MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
5755,0000313228,5811918616,"FUNDACJA WSPIERANIA SPOŁECZNOŚCI LOKALNYCH ""SAPERE AUDE""",POMORSKIE,KWIDZYŃSKI,SADLINKI,OKRĄGŁA ŁĄKA
5756,0000313330,7343338305,STOWARZYSZENIE NOWOSĄDECKA WSPÓLNOTA,MAŁOPOLSKIE,NOWY SĄCZ,NOWY SĄCZ,NOWY SĄCZ
5757,0000313435,7282703666,"STOWARZYSZENIE NA RZECZ BEZDOMNYCH ZWIERZĄT ""SCHRONISKO""",ŁÓDZKIE,ŁÓDŹ,ŁÓDŹ,ŁÓDŹ
5758,0000313436,6112674362,"""STOWARZYSZENIE OCHRONY KRAJOBRAZU I ARCHITEKTURY SUDECKIEJ""",DOLNOŚLĄSKIE,KARKONOSKI,KARPACZ,KARPACZ
5759,0000313437,6692472421,"KOSZALIŃSKI KLUB STRZELECKI ""KALIBER""",ZACHODNIOPOMORSKIE,KOSZALIN,KOSZALIN,KOSZALIN
5760,0000313511,8542343232,FUNDACJA TALENT PROMOCJA SPORT,ZACHODNIOPOMORSKIE,STARGARDZKI,STARGARD,STARGARD
5761,0000313536,5552075352,"STOWARZYSZENIE NA RZECZ OSÓB NIEPEŁNOSPRAWNYCH ""TY I JA""",POMORSKIE,CHOJNICKI,BRUSY,BRUSY
5762,0000313679,7881959099,"STOWARZYSZENIE ""EMILIA""",WIELKOPOLSKIE,NOWOTOMYSKI,LWÓWEK,PAKOSŁAW
5763,0000313743,6342696226,STOWARZYSZENIE PRZYJACIÓŁ DZIECI SŁOŃCA,WIELKOPOLSKIE,POZNAŃ,POZNAŃ,POZNAŃ
5764,0000313745,5423102779,"FUNDACJA ""AFRYKA INACZEJ""",MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
5765,0000313785,9282028645,STOWARZYSZENIE NA RZECZ ROZWOJU WSI PIETRZYKÓW,LUBUSKIE,ŻARSKI,LIPINKI ŁUŻYCKIE,PIETRZYKÓW
5766,0000313833,6412289183,"TOWARZYSTWO LEKKOATLETYCZNE ""POGOŃ""",ŚLĄSKIE,M. RUDA ŚLĄSKA,M. RUDA ŚLĄSKA,RUDA ŚLĄSKA
5767,0000313847,7952460304,FUNDACJA ADA,PODKARPACKIE,M. PRZEMYŚL,M. PRZEMYŚL,PRZEMYŚL
5768,0000313956,7842425620,FUNDACJA MŁODZI W UZALEŻNIENIU,WIELKOPOLSKIE,GNIEŹNIEŃSKI,GNIEZNO,GNIEZNO
5769,0000313988,5761544420,STOWARZYSZENIE ROZWOJU I ODNOWY WSI PAWŁOWICE,OPOLSKIE,OLESKI,GORZÓW ŚLĄSKI,PAWŁOWICE
5770,0000314053,6060064567,STOWARZYSZENIE AMAZONEK IM. ŚWIĘTEJ SIOSTRY FAUSTYNY W OBORNIKACH,WIELKOPOLSKIE,OBORNICKI,OBORNIKI,OBORNIKI
5771,0000314065,7343365503,"STOWARZYSZENIE NA RZECZ INTEGRACJI ŚRODOWISK AKADEMICKICH ""ORION""",MAŁOPOLSKIE,M. NOWY SĄCZ,M. NOWY SĄCZ,NOWY SĄCZ
5772,0000314083,5833055418,FUNDACJA AKTYWNOŚCI ZAWODOWEJ,POMORSKIE,GDAŃSK,GDAŃSK,GDAŃSK
5773,0000314115,9721189096,"GRUPA ANIMACJI SPOŁECZNEJ ""REZERWAT""",WIELKOPOLSKIE,M. POZNAŃ,M. POZNAŃ,POZNAŃ
5774,0000314143,9661975973,LOKALNA GRUPA DZIAŁANIA - PUSZCZA KNYSZYŃSKA,PODLASKIE,BIAŁOSTOCKI,SUPRAŚL,SUPRAŚL
5775,0000314258,8661698510,"""LOKALNA GRUPA DZIAŁANIA - DORZECZE WISŁY""",ŚWIĘTOKRZYSKIE,STASZOWSKI,POŁANIEC,POŁANIEC
5776,0000314496,7281670172,TOWARZYSTWO POMOCY IM.ŚW.BRATA ALBERTA KOŁO ŁÓDZKIE,ŁÓDZKIE,M. ŁÓDŹ,M. ŁÓDŹ,ŁÓDŹ
5777,0000314538,5532175978,OCHOTNICZA STRAŻ POŻARNA W ŁODYGOWICACH,ŚLĄSKIE,ŻYWIECKI,ŁODYGOWICE,ŁODYGOWICE
5778,0000314554,5732749355,"STOWARZYSZENIE OSÓB NIEPEŁNOSPRAWNYCH RUCHOWO ICH RODZIN I PRZYJACIÓŁ ""PROMETEUS""",ŚLĄSKIE,CZĘSTOCHOWSKI,KONOPISKA,KONOPISKA
5779,0000314567,9562146529,"""MIEJSKI KLUB LEKKOATLETYCZNY TORUŃ""",KUJAWSKO-POMORSKIE,M. TORUŃ,M. TORUŃ,TORUŃ
5780,0000314641,6783068163,"FUNDACJA SZTUKI, PRZYGODY I PRZYJEMNOŚCI ARTS",MAŁOPOLSKIE,MYŚLENICKI,MYŚLENICE,MYŚLENICE
5781,0000314644,9532581172,FUNDACJA CZYSTE SERCA,KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,BYDGOSZCZ
5782,0000314665,5751719846,TERENOWY KOMITET OCHRONY PRAW DZIECKA,ŚLĄSKIE,LUBLINIECKI,LUBLINIEC,LUBLINIEC
5783,0000314744,9552244383,"FUNDACJA NIEZALEŻNEGO ŻYCIA OSÓB NIEPEŁNOSPRAWNYCH ""HUSSAR""",ZACHODNIOPOMORSKIE,M. SZCZECIN,M. SZCZECIN,SZCZECIN
5784,0000314814,8733182254,"STOWARZYSZENIE ""SIÓDEMKA"" W TARNOWIE",MAŁOPOLSKIE,M. TARNÓW,M. TARNÓW,TARNÓW
5785,0000314818,7611528018,TOWARZYSTWO PRZYJACIÓŁ CHORZEL,MAZOWIECKIE,PRZASNYSKI,CHORZELE,CHORZELE
5786,0000314859,9291804675,EUROPEJSKA FUNDACJA OŚWIATY I KULTURY,LUBUSKIE,ZIELONOGÓRSKI,ZIELONA GÓRA,ZIELONA GÓRA
5787,0000314891,7692163531,"STOWARZYSZENIE EDUKACYJNO-REGIONALNE ""PRZYSZŁOŚĆ MŁODEGO POKOLENIA""",ŁÓDZKIE,BEŁCHATOWSKI,RUSIEC,RUSIEC
5788,0000314944,8992654475,"STOWARZYSZENIE ""EKO - EDUKACJA""",DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW,WROCŁAW
5789,0000314969,5871659408,LOKALNA GRUPA DZIAŁANIA MAŁE MORZE,POMORSKIE,PUCKI,PUCK,PUCK
5790,0000315002,7752598601,STOWARZYSZENIE WSPIERAJĄCE ROZWÓJ GMINY KRZYŻANÓW,ŁÓDZKIE,KUTNOWSKI,KRZYŻANÓW,KRZYŻANÓW
5791,0000315083,6112727070,"FUNDACJA ""CELWISKOZA""",DOLNOŚLĄSKIE,M. JELENIA GÓRA,M. JELENIA GÓRA,JELENIA GÓRA
5792,0000315243,7272733200,FUNDACJA OKAŻ SERCE DZIECIOM I OSOBOM NIEPEŁNOSPRAWNYM,ŁÓDZKIE,ŁÓDŹ,ŁÓDŹ,ŁÓDŹ
5793,0000315249,8942960230,DOLNOŚLĄSKIE STOWARZYSZENIE POMOCY CHORYM NA ŁUSZCZYCĘ I ŁZS,DOLNOŚLĄSKIE,M. WROCŁAW,M. WROCŁAW,WROCŁAW
5794,0000315328,9671297581,"STOWARZYSZENIE NIESIENIA POMOCY OSOBOM UZALEŻNIONYM OD ALKOHOLU, OSOBOM WSPÓŁUZALEŻNIONYM ORAZ OFIAROM PRZEMOCY ""ALWERNIA""",KUJAWSKO-POMORSKIE,M. BYDGOSZCZ,M. BYDGOSZCZ,BYDGOSZCZ
5795,0000315342,1250499395,HOSPICJUM OPATRZNOŚCI BOŻEJ KSIĘŻA ORIONIŚCI,MAZOWIECKIE,WOŁOMIŃSKI,WOŁOMIN,WOŁOMIN
5796,0000315362,1182059702,OGÓLNOPOLSKA ORGANIZACJA KWIAT KOBIECOŚCI,MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
5797,0000315395,7481561588,WSPÓLNOTA KRESOWA,OPOLSKIE,GŁUBCZYCKI,GŁUBCZYCE,GŁUBCZYCE
5798,0000315450,5222903604,"""FUNDACJA ROZWOJU PEDIATRII""",MAZOWIECKIE,WARSZAWA,WARSZAWA,WARSZAWA
5799,0000315596,6941656173,"FUNDACJA ""ANIMUS""",DOLNOŚLĄSKIE,ZŁOTORYJSKI,ZŁOTORYJA,WILKÓW OSIEDLE
5800,0000315636,7962855547,"STOWARZYSZENIE KLUB ""AMAZONKI"" W PIONKACH",MAZOWIECKIE,RADOMSKI,PIONKI,PIONKI
5801,0000315662,7431975715,"STOWARZYSZENIE KOBIET ""MIEJ MARZENIA""",WARMIŃSKO-MAZURSKIE,LIDZBARSKI,LIDZBARK WARMIŃSKI,LIDZBARK WARMIŃSKI
5802,0000315673,7831304373,LIONS CLUB POZNAŃ ROTUNDA,WIELKOPOLSKIE,M. POZNAŃ,M. POZNAŃ,POZNAŃ
5803,0000315678,8971747013,STOWARZYSZENIE SALUTARIS,DOLNOŚLĄSKIE,M. WROCŁAW,M. WROCŁAW,WROCŁAW
5804,0000315682,5833043059,FUNDACJA JUŻ POMAGAM,POMORSKIE,M. GDAŃSK,M. GDAŃSK,GDAŃSK
5805,0000315823,9571008169,FUNDACJA IRASIAD - ZAGUBIONYM,POMORSKIE,M. GDAŃSK,M. GDAŃSK,GDAŃSK
5806,0000315840,5882296760,ZESPÓŁ ŚPIEWACZY ŚW. CECYLIA,POMORSKIE,WEJHEROWSKI,RUMIA,RUMIA
5807,0000315867,6922457136,"""A TACY SAMI"" STOWARZYSZENIE PRZY SPECJALNYM OŚRODKU SZKOLNO-WYCHOWAWCZYM IM. PRZYJACIÓŁ DZIECI W SZKLARACH GÓRNYCH",DOLNOŚLĄSKIE,LUBIŃSKI,LUBIN,LUBIN
5808,0000315894,8792513385,"GMINNY UCZNIOWSKI KLUB SPORTOWY ""DRWĘCA NOVAR"" W LUBICZU",KUJAWSKO-POMORSKIE,TORUŃSKI,LUBICZ,LUBICZ GÓRNY
5809,0000315900,5951449713,"STOWARZYSZENIE ""OTWARTE SERCE"" PRZY DOMU POMOCY SPOŁECZNEJ PIŁKA - ZAMYŚLIN",WIELKOPOLSKIE,MIĘDZYCHODZKI,MIĘDZYCHÓD,ZAMYŚLIN
5810,0000315988,9542658887,"FUNDACJA ""BLIŻEJ SERCA""",DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,SUSZKI
5811,0000316097,7010150868,"FUNDACJA ""PRAWO DO POMOCY""",MAZOWIECKIE,M.ST. WARSZAWA,M.ST. WARSZAWA,WARSZAWA
5812,0000316164,8681908034,"STOWARZYSZENIE NA RZECZ OSÓB SPECJALNEJ TROSKI ""AMICUS HOMINIS""",MAŁOPOLSKIE,BOCHEŃSKI,BOCHNIA,PROSZÓWKI
